KOI Name,NExScI Disposition,Kepler Name,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number
K00691.02,CONFIRMED,Kepler-647 b,16.2254975,144.02673000000001,2454977.027,0.273,6.471,120.4,0.01,0.46518999999999994,1.21,0.122,89.16,788.0,90.93,18.64,0.33399999999999996,0.29600000000000004,0.0,0.0,5956.0,4.322,-0.28,1.0979999999999999,0.922,4.481,16.124000000000002,20.3,2,81
K04386.01,CANDIDATE,,18.501089800000003,149.17569,2454982.176,0.7190000000000001,3.179,421.1,0.02,1.8466,1.62,0.128,88.72,555.0,22.4,32.2,0.49,0.207,0.0,0.0,5242.0,4.613,-0.24,0.7340000000000001,0.815,3.7539999999999996,11.850999999999999,14.7,1,74
K05521.01,FALSE POSITIVE,,31.59115876,162.50188500000002,2454995.502,1.247,2.6431,1434.4,0.29100000000000004,0.54032,72.91,0.195,87.66,783.0,88.84,30.5,0.466,0.225,0.0,0.0,5178.0,3.714,-0.3,2.295,0.995,17.219,73.669,83.5,1,41
K02402.01,CONFIRMED,Kepler-1223 b,16.3012727,133.79446000000002,2454966.794,0.88,3.9739999999999998,259.5,0.018000000000000002,0.29391999999999996,1.54,0.11900000000000001,86.86,557.0,22.73,16.04,0.644,0.099,0.0,0.0,4873.0,4.558,0.32,0.7959999999999999,0.836,4.17,15.581,19.7,1,81
K04254.01,FALSE POSITIVE,,0.530967987,131.72336,2454964.723,0.09300000000000001,1.8119999999999998,26.9,0.005,0.83578,1.08,0.016,87.7,4196.0,73103.16,2.318,0.258,0.293,0.0,0.0,8473.0,4.123,0.21,2.052,2.036,4.351,18.4,24.1,1,2527
K03905.01,FALSE POSITIVE,,1.061934313,131.72596000000001,2454964.726,1.218,3.194,607.0,0.245,0.04487,15.14,0.017,28.62,1104.0,352.77,1.3880000000000001,0.574,0.15,0.0,0.0,4304.0,4.675,-0.58,0.5660000000000001,0.552,3.54,21.385,70.0,1,1261
K04206.01,FALSE POSITIVE,,0.5309593570000001,131.73991,2454964.74,0.348,2.417,84.4,0.008,0.34258,0.69,0.012,78.33,1852.0,2764.64,1.722,0.49,0.207,0.0,0.0,5325.0,4.607,-0.22,0.75,0.84,4.127,16.085,22.0,1,1262
K04596.01,FALSE POSITIVE,,1.061937837,131.7269,2454964.727,0.125,2.31,52.0,0.006999999999999999,0.7552800000000001,0.68,0.021,87.98,1757.0,2252.16,3.56,0.359,0.287,0.0,0.0,5893.0,4.505,0.0,0.941,1.033,3.784,13.259,16.3,1,2521
K07888.01,CANDIDATE,,4.7368156,131.7876,2454964.788,0.218,2.84,35.3,0.005,1.6616900000000001,0.6,0.055999999999999994,89.0,1137.0,395.05,12.54,0.35100000000000003,0.289,0.0,0.0,6088.0,4.456,-0.06,1.011,1.06,3.2430000000000003,7.157,6.9,1,282
K07047.01,FALSE POSITIVE,,5.801881299,136.9821453,2454969.982,0.81,4.21133,34469.8,0.191,0.44448000000000004,62.9,0.077,84.98,2001.0,3784.87,9.248,0.248,0.327,0.0,0.0,7259.0,3.739,0.02,3.009,1.808,733.5260000000001,7082.316999999999,3642.0,1,228
K01248.01,FALSE POSITIVE,,5.8018806529999996,357.453464,2455190.453,0.773,4.2608,41924.0,0.209,0.5149600000000001,19.91,0.063,85.44,964.0,203.62,9.713,0.386,0.271,0.0,0.0,5845.0,4.541,-0.16,0.8740000000000001,0.968,205.915,1286.583,396.8,1,195
K07889.01,CANDIDATE,,130.235324,218.2719,2455051.272,0.075,5.678,750.1,0.025,6.40419,2.44,0.504,89.98,332.0,2.86,179.1,0.469,0.22399999999999998,0.0,0.0,5616.0,4.529,0.16,0.903,1.006,4.604,7.606,9.7,1,10
K00911.01,CONFIRMED,Kepler-722 b,4.093578461,171.00954,2455004.01,0.93,2.5833,538.6,0.026000000000000002,0.17115,2.85,0.051,79.95,1182.0,461.07,5.33,0.359,0.287,0.0,0.0,6077.0,4.471,-0.04,0.9990000000000001,1.077,4.582,31.434,36.4,2,328
